seed,fault_mode,n_normal,n_anomaly,auc,pauc,f1,gamma_threshold
23711,belt_tension_abnormal,300,100,0.7260666666666666,0.5963157894736842,0.0761904761904762,14.15827394161571
23711,extruder_cogging_or_no_extrusion,300,100,0.7241333333333332,0.5957894736842105,0.057692307692307696,14.15827394161571
23711,toolhead_collision,300,100,0.9998333333333334,0.9991228070175437,0.9849246231155779,14.15827394161571
23712,belt_tension_abnormal,300,100,0.6977,0.5745614035087719,0.405982905982906,12.535632804651378
23712,extruder_cogging_or_no_extrusion,300,100,0.6430333333333333,0.5684210526315789,0.4093816631130064,12.535632804651378
23712,toolhead_collision,300,100,0.9979666666666667,0.9943859649122808,0.42283298097251587,12.535632804651378
23713,belt_tension_abnormal,300,100,0.7455,0.6064912280701754,0.4024144869215292,12.532928075610737
23713,extruder_cogging_or_no_extrusion,300,100,0.6290666666666667,0.5677192982456141,0.4024144869215292,12.532928075610737
23713,toolhead_collision,300,100,0.9973666666666667,0.9947368421052631,0.4024144869215292,12.532928075610737
